,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 1 random_forest,0.5425217161417624,924.8100337837839,1346.1990143748876
Dataset 1 adaboost,-0.12574502344868854,1901.9494624878191,2111.7574962356316
Dataset 1 gradient_boosting,0.5761959934468088,940.7956452840295,1295.7062560631023
Dataset 1 extra_trees,0.5631756551081253,859.3371554054054,1315.4593850858103
Dataset 2 random_forest,0.5477750671859141,924.9213851351351,1335.2305678849343
Dataset 2 adaboost,-0.1764307015806441,1936.916845138205,2153.5858532885964
Dataset 2 gradient_boosting,0.5824470355570066,925.7798711888628,1283.0240595741902
Dataset 2 extra_trees,0.5639940628960114,867.6018006756757,1311.0679966572873
Dataset 3 random_forest,0.5072112258637199,957.9359459459461,1393.828748167547
Dataset 3 adaboost,-0.15760759026456528,1911.7392466931824,2136.287491739911
Dataset 3 gradient_boosting,0.5702835795533282,921.2773278347036,1301.5773711405404
Dataset 3 extra_trees,0.5322215725294495,894.0418445945945,1357.997935073859
