,Home,Geo,Arena,Capacity,Opened
0,Atlanta Hawks,US-GA,State Farm Arena,18118,1999
1,Boston Celtics,US-MA,TD Garden,18624,1995
2,Brooklyn Nets,US-NY,Barclays Center,17732,2012
3,Charlotte Hornets,US-NC,Spectrum Center,19077,2005
4,Chicago Bulls,US-IL,United Center,20917,1994
5,Cleveland Cavaliers,US-OH,Rocket Mortgage FieldHouse,19432,1994
6,Dallas Mavericks,US-TX,American Airlines Center,19200,2001
7,Denver Nuggets,US-CO,Pepsi Center,19520,1999
8,Detroit Pistons,US-MI,Little Caesars Arena,20332,2017
9,Golden State Warriors,US-CA,Chase Center,18064,2019
10,Houston Rockets,US-TX,Toyota Center,18055,2003
11,Indiana Pacers,US-IN,Bankers Life Fieldhouse,17923,1999
12,Los Angeles Clippers,US-CA,Staples Center,19068,1999
13,Los Angeles Lakers,US-CA,Staples Center,18997,1999
14,Memphis Grizzlies,US-TN,FedExForum,17794,2004
15,Miami Heat,US-FL,American Airlines Arena,19600,1999
16,Milwaukee Bucks,US-WI,Fiserv Forum,17500,2018
17,Minnesota Timberwolves,US-MN,Target Center,18978,1990
18,New Orleans Pelicans,US-LA,Smoothie King Center,16867,1999
19,New York Knicks,US-NY,Madison Square Garden,19812,2013
20,Oklahoma City Thunder,US-OK,Chesapeake Energy Arena,18203,2002
21,Orlando Magic,US-FL,Amway Center,18846,2010
22,Philadelphia 76ers,US-Pennsylvania,Wells Fargo Center,20478,1996
23,Phoenix Suns,US-AZ,Talking Stick Resort Arena,18055,1992
24,Portland Trail Blazers,US-OR,Moda Center,19441,1995
25,Sacramento Kings,US-CA,Golden 1 Center,17583,2016
26,San Antonio Spurs,US-TX,AT&T Center,18418,2002
27,Toronto Raptors,US-Ontario,Scotiabank Arena,19800,1999
28,Utah Jazz,US-UT,Vivint Smart Home Arena,18306,1991
29,Washington Wizards,US-D.C.,Capital One Arena,20356,1997
